DataType,Code,LocalAuthority,Period,Value,Numerator,Denominator
Real,ECON05,Eilean Siar,2019-20,21.33233533,57,26720
Real,ECON05,Eilean Siar,2020-21,24.1509434,64,26500
Real,ECON05,Eilean Siar,2021-22,21.3963964,57,26640
Real,ECON05,Eilean Siar,2022-23,18.01801802,48,26640
Real,ECON05,Eilean Siar,2023-24,10.88588589,29,26640
Real,ECON05,Falkirk,2014-15,23.84425138,376,157690
Real,ECON05,Falkirk,2015-16,19.3739745,307,158460
Real,ECON05,Falkirk,2016-17,13.552516,216,159380
Real,ECON05,Falkirk,2017-18,17.61069131,282,160130
Real,ECON05,Falkirk,2018-19,19.33391543,310,160340
Real,ECON05,Falkirk,2019-20,19.76505687,318,160890
Real,ECON05,Falkirk,2020-21,13.01694071,209,160560
Real,ECON05,Falkirk,2021-22,13.37896702,215,160700
Real,ECON05,Falkirk,2022-23,13.81456129,222,160700
Real,ECON05,Falkirk,2023-24,10.57871811,170,160700
Real,ECON05,Fife,2014-15,21.81075562,801,367250
Real,ECON05,Fife,2015-16,15.92045208,586,368080
Real,ECON05,Fife,2016-17,14.60859234,541,370330
Real,ECON05,Fife,2017-18,12.62755445,469,371410
Real,ECON05,Fife,2018-19,14.84230056,552,371910
Real,ECON05,Fife,2019-20,16.78490162,627,373550
Real,ECON05,Fife,2020-21,14.13947024,529,374130
Real,ECON05,Fife,2021-22,16.0115283,600,374730
Real,ECON05,Fife,2022-23,13.44968377,504,374730
Real,ECON05,Fife,2023-24,9.04651349,339,374730
Real,ECON05,Glasgow City,2014-15,9.288906677,557,599640
Real,ECON05,Glasgow City,2015-16,6.16815648,374,606340
Real,ECON05,Glasgow City,2016-17,6.617133009,407,615070
Real,ECON05,Glasgow City,2017-18,6.006247786,373,621020
Real,ECON05,Glasgow City,2018-19,6.050350409,379,626410
Real,ECON05,Glasgow City,2019-20,8.086934546,512,633120
Real,ECON05,Glasgow City,2020-21,2.249701089,143,635640
Real,ECON05,Glasgow City,2021-22,7.226866941,459,635130
Real,ECON05,Glasgow City,2022-23,7.99836254,508,635130
Real,ECON05,Glasgow City,2023-24,2.72385181,173,635130
Real,ECON05,Highland,2014-15,10.98335336,256,233080
Real,ECON05,Highland,2015-16,10.76417069,252,234110
Real,ECON05,Highland,2016-17,12.13954083,285,234770
Real,ECON05,Highland,2017-18,11.01284123,259,235180
Real,ECON05,Highland,2018-19,11.88757748,280,235540
Real,ECON05,Highland,2019-20,11.95776619,282,235830
Real,ECON05,Highland,2020-21,7.305780912,172,235430
Real,ECON05,Highland,2021-22,8.485255818,202,238060
Real,ECON05,Highland,2022-23,13.23195833,315,238060
Real,ECON05,Highland,2023-24,8.359237167,199,238060
Real,ECON05,Inverclyde,2014-15,18.90098886,151,79890
Real,ECON05,Inverclyde,2015-16,19.24528302,153,79500
Real,ECON05,Inverclyde,2016-17,12.75896918,101,79160
Real,ECON05,Inverclyde,2017-18,11.17318436,88,78760
Real,ECON05,Inverclyde,2018-19,18.29814459,143,78150
Real,ECON05,Inverclyde,2019-20,18.63753213,145,77800
Real,ECON05,Inverclyde,2020-21,26.86218531,207,77060
Real,ECON05,Inverclyde,2021-22,29.4654498,226,76700
Real,ECON05,Inverclyde,2022-23,25.42372881,195,76700
Real,ECON05,Inverclyde,2023-24,12.12516297,93,76700
Real,ECON05,Midlothian,2014-15,22.73254465,196,86220
Real,ECON05,Midlothian,2015-16,19.79631537,173,87390
